"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2017051700599",2017,"051700599",340808,384917,"-2.890827","53.357818","Merseyside","Slight",2,1,2017-03-06,"Monday",07:10:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01006743",2017-03-06 07:10:00
"2017051700600",2017,"051700600",336956,394761,"-2.950665","53.445843","Merseyside","Slight",2,3,2017-03-08,"Wednesday",16:36:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Dual carriageway",40,"Other junction","Give way or uncontrolled","A",NA,"None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006613",2017-03-08 16:36:00
"2017051700601",2017,"051700601",338069,388913,"-2.932759","53.393418","Merseyside","Slight",2,1,2017-03-07,"Tuesday",14:20:00,"Liverpool","E08000012","E08000012","B",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01006557",2017-03-07 14:20:00
"2017051700602",2017,"051700602",335113,390247,"-2.977478","53.405052","Merseyside","Slight",2,1,2017-03-04,"Saturday",15:15:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Urban","No","Non-trunk","E01033756",2017-03-04 15:15:00
"2017051700605",2017,"051700605",338571,394294,"-2.926262","53.441837","Merseyside","Slight",1,1,2017-03-08,"Wednesday",11:30:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033759",2017-03-08 11:30:00
"2017051700606",2017,"051700606",339072,385851,"-2.917087","53.366015","Merseyside","Slight",2,1,2017-03-09,"Thursday",11:40:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006684",2017-03-09 11:40:00
"2017051700611",2017,"051700611",334330,391247,"-2.989462","53.413942","Merseyside","Slight",2,1,2017-03-09,"Thursday",17:29:00,"Liverpool","E08000012","E08000012","A",NA,"Single carriageway",30,"Private drive or entrance","Give way or uncontrolled",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033751",2017-03-09 17:29:00
"2017051700612",2017,"051700612",334304,389945,"-2.989582","53.402237","Merseyside","Slight",2,2,2017-03-09,"Thursday",20:06:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033756",2017-03-09 20:06:00
"2017051700617",2017,"051700617",337935,395211,"-2.936016","53.450004","Merseyside","Slight",1,1,2017-03-06,"Monday",16:20:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",40,"Crossroads","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01032510",2017-03-06 16:20:00
"2017051700623",2017,"051700623",337711,397281,"-2.939799","53.468581","Merseyside","Slight",1,1,2017-03-08,"Wednesday",16:30:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",30,"Slip road","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01006654",2017-03-08 16:30:00
